Key,Bestiary Index,First Monster,Second Monster,Fusion Name,Basis for Type,Attack Kind,Physicality,Target,Base Power,Status Type,Status Effect
Adeptile_Adeptile,15983,Adeptile,Adeptile,Giga Adeptile,Second,Arrow,Ranged,Single,200,Buff Self,Locked On
Adeptile_Aeroboros,15870,Adeptile,Aeroboros,Adeptboros,First,Axe,Melee,Single,200,Debuff Target,Resonance
Adeptile_Allseer,15912,Adeptile,Allseer,Adeptseer,Second,Blast,Melee,Single,200,Debuff Target,Conductive
Adeptile_Amphare,-1,Adeptile,Amphare,Adepthare,First,Sword,Melee,Single,200,Buff Self,Speed Up
Adeptile_Anathema,15980,Adeptile,Anathema,Adeptthema,First,Wheel,Melee,Team,112,Debuff Target,Melee Attack Down
Adeptile_Apocrowlypse,15908,Adeptile,Apocrowlypse,Adeptcrowlypse,Second,Spikes,Ranged,Single,200,Buff Self,Melee Attack Up
Adeptile_Arkidd,15973,Adeptile,Arkidd,Adeptkidd,Second,Beam,Ranged,Single,200,Buff Self,Melee Attack Up
Adeptile_Artillerex,15903,Adeptile,Artillerex,Adeptrex,First,Wheel,Melee,Team,150,Buff Self,Speed Up
Adeptile_Auriclaw,15987,Adeptile,Auriclaw,Adeptclaw,Second,Meteor,Ranged,Team,150,Buff Self,Healing Leaf
Adeptile_Averevoir,15977,Adeptile,Averevoir,Adeptrevoir,First,Meteor,Ranged,Team,150,Buff Self,Ranged Attack Up
Adeptile_Bansheep,15879,Adeptile,Bansheep,Adeptsheep,First,Blast,Melee,Single,200,Buff Self,Locked On
Adeptile_Beanstalker,15950,Adeptile,Beanstalker,Adeptstalker,Second,Shards,Ranged,Team,112,Debuff Target,Glass Bonds
Adeptile_Pawper,15989,Adeptile,Pawper,Adeptper,Second,Meteor,Ranged,Team,150,Buff Self,Ranged Attack Up
Adeptile_Pawprince,15990,Adeptile,Pawprince,Adeptprince,Second,Blast,Melee,Single,200,Debuff Target,Evasion Down
Adeptile_Binterloper,15943,Adeptile,Binterloper,Adeptloper,Second,Arrow,Ranged,Single,200,Debuff Target,Conductive
Adeptile_Binvader,15942,Adeptile,Binvader,Adeptvader,First,Meteor,Ranged,Team,150,Buff Self,Parry Stance
Adeptile_Blossomaw,15887,Adeptile,Blossomaw,Adeptmaw,First,Bomb,Ranged,Team,150,Buff Self,Healing Steam
Adeptile_Blunderbusk,-1,Adeptile,Blunderbusk,Adeptbusk,Second,Fist,Melee,Team,112,Debuff Target,Ranged Attack Down
Adeptile_Boltam,15931,Adeptile,Boltam,Adepttam,Second,Wheel,Melee,Team,112,Debuff Target,Bomb
Adeptile_Braxsuit,15915,Adeptile,Braxsuit,Adeptsuit,First,Meteor,Ranged,Team,150,Buff Self,Locked On
Adeptile_Brushroom,15929,Adeptile,Brushroom,Adeptroom,First,Arrow,Ranged,Single,200,Debuff Target,Shrapnel
Adeptile_Bulletino,15901,Adeptile,Bulletino,Adepttino,Second,Shards,Ranged,Team,150,Buff Self,AP Boost
Adeptile_Burnace,15956,Adeptile,Burnace,Adeptace,Second,Sword,Melee,Single,200,Buff Self,Locked On
Adeptile_Busheye,15933,Adeptile,Busheye,Adeptsheye,First,Beam,Ranged,Single,200,Buff Self,Melee Attack Up
Adeptile_Candevil,15874,Adeptile,Candevil,Adeptdevil,Second,Bomb,Ranged,Team,150,Buff Self,Locked On
Adeptile_Capricorpse,15883,Adeptile,Capricorpse,Adeptcorpse,Second,Meteor,Ranged,Team,112,Debuff Target,Speed Down
Adeptile_Carniviper,15866,Adeptile,Carniviper,Adeptviper,Second,Fist,Melee,Team,150,Buff Self,Contact Dmg
Adeptile_Cat-5,15898,Adeptile,Cat-5,Adept-5,First,Arrow,Ranged,Single,200,Buff Self,Locked On
Adeptile_Charlequin,-1,Adeptile,Charlequin,Adeptquin,Second,Smash,Melee,Team,150,Buff Self,Multitarget
Adeptile_Clocksley,15909,Adeptile,Clocksley,Adeptsley,Second,Wheel,Melee,Team,150,Buff Self,Parry Stance
Adeptile_Cluckabilly,15960,Adeptile,Cluckabilly,Adeptbilly,First,Arrow,Ranged,Single,200,Debuff Target,Berserk
Adeptile_Coaldron,15937,Adeptile,Coaldron,Adeptdron,First,Sword,Melee,Single,200,Debuff Target,Petrified
Adeptile_Cryoshear,15967,Adeptile,Cryoshear,Adeptshear,First,Arrow,Ranged,Single,200,Buff Self,Evasion Up
Adeptile_Dandylion,15886,Adeptile,Dandylion,Adeptlion,First,Smash,Melee,Team,150,Buff Self,Parry Stance
Adeptile_Decibelle,15885,Adeptile,Decibelle,Adeptbelle,First,Meteor,Ranged,Team,150,Buff Self,Speed Up
Adeptile_Diveal,15905,Adeptile,Diveal,Adeptveal,Second,Shards,Ranged,Team,150,Buff Self,Evasion Up
Adeptile_Diveberg,15982,Adeptile,Diveberg,Adeptberg,First,Fist,Melee,Team,112,Debuff Target,Accuracy Down
Adeptile_Djinn Entonic,15972,Adeptile,Djinn Entonic,Adeptentonic,Second,Smash,Melee,Team,112,Debuff Target,Confused
Adeptile_Dominoth,15890,Adeptile,Dominoth,Adeptnoth,First,Blast,Melee,Single,200,Debuff Target,Resonance
Adeptile_Draculeaf,15951,Adeptile,Draculeaf,Adeptleaf,Second,Axe,Melee,Single,200,Buff Self,Contact Dmg
Adeptile_Elfless,15926,Adeptile,Elfless,Adeptless,First,Spikes,Ranged,Single,200,Debuff Target,Confused
Adeptile_Faerious,15928,Adeptile,Faerious,Adeptrious,Second,Axe,Melee,Single,200,Buff Self,Accuracy Up
Adeptile_Faucetear,15958,Adeptile,Faucetear,Adepttear,First,Sword,Melee,Single,200,Debuff Target,Confused
Adeptile_Ferriclaw,15986,Adeptile,Ferriclaw,Adeptclaw,First,Sword,Melee,Single,200,Buff Self,Ranged Attack Up
Adeptile_Flapwoods,15916,Adeptile,Flapwoods,Adeptwoods,Second,Meteor,Ranged,Team,112,Debuff Target,Flinched
Adeptile_Folklord,15889,Adeptile,Folklord,Adeptlord,First,Fist,Melee,Team,112,Debuff Target,Resonance
Adeptile_Fortiwinx,15918,Adeptile,Fortiwinx,Adeptwinx,First,Fist,Melee,Team,112,Debuff Target,Conductive
Adeptile_Fountess,15959,Adeptile,Fountess,Adepttess,First,Blast,Melee,Single,200,Buff Self,Accuracy Up
Adeptile_Fragliacci,-1,Adeptile,Fragliacci,Adeptliacci,Second,Fist,Melee,Team,112,Debuff Target,Glass Bonds
Adeptile_Frillypad,15924,Adeptile,Frillypad,Adeptpad,First,Axe,Melee,Single,200,Buff Self,Evasion Up
Adeptile_Fungogh,15930,Adeptile,Fungogh,Adeptgogh,First,Smash,Melee,Team,150,Buff Self,Ranged Defence Up
Adeptile_Galagor,15939,Adeptile,Galagor,Adeptgor,First,Meteor,Ranged,Team,112,Debuff Target,Conductive
Adeptile_Gearyu,15904,Adeptile,Gearyu,Adeptryu,First,Arrow,Ranged,Single,200,Buff Self,Healing Leaf
Adeptile_Glaistain,15978,Adeptile,Glaistain,Adeptstain,First,Fist,Melee,Team,150,Buff Self,Cottoned On
Adeptile_Grampus,15927,Adeptile,Grampus,Adeptpus,First,Wheel,Melee,Team,112,Debuff Target,Bomb
Adeptile_Gumbaal,15878,Adeptile,Gumbaal,Adeptbaal,First,Bomb,Ranged,Team,112,Debuff Target,Berserk
Adeptile_Hauntome,-1,Adeptile,Hauntome,Adepttome,Second,Beam,Ranged,Single,200,Buff Self,Ranged Defence Up
Adeptile_Hedgeherne,15935,Adeptile,Hedgeherne,Adeptherne,First,Meteor,Ranged,Team,150,Buff Self,Multistrike
Adeptile_Hopskin,15862,Adeptile,Hopskin,Adeptskin,Second,Beam,Ranged,Single,200,Buff Self,Melee Defence Up
Adeptile_Huntorch,15934,Adeptile,Huntorch,Adepttorch,Second,Beam,Ranged,Single,200,Debuff Target,Melee Defence Down
Adeptile_Icepeck,15966,Adeptile,Icepeck,Adeptpeck,First,Axe,Melee,Single,200,Debuff Target,Shrapnel
Adeptile_Jellyton,15946,Adeptile,Jellyton,Adeptton,Second,Meteor,Ranged,Team,112,Debuff Target,Resonance
Adeptile_Jormungold,15868,Adeptile,Jormungold,Adeptgold,First,Axe,Melee,Single,200,Buff Self,Cottoned On
Adeptile_Jumpkin,15949,Adeptile,Jumpkin,Adeptkin,Second,Arrow,Ranged,Single,200,Debuff Target,Confused
Adeptile_Khepri,15976,Adeptile,Khepri,Adeptpri,First,Spikes,Ranged,Single,200,Buff Self,Evasion Up
Adeptile_Khufo,15913,Adeptile,Khufo,Adeptfo,First,Sword,Melee,Single,200,Debuff Target,Resonance
Adeptile_Kingrave,15954,Adeptile,Kingrave,Adeptgrave,Second,Fist,Melee,Team,112,Debuff Target,Poisoned
Adeptile_Kirikuri,15945,Adeptile,Kirikuri,Adeptkuri,First,Blast,Melee,Single,200,Debuff Target,Conductive
Adeptile_Kittelly,15897,Adeptile,Kittelly,Adepttelly,First,Smash,Melee,Team,150,Buff Self,Parry Stance
Adeptile_Kuneko,15970,Adeptile,Kuneko,Adeptneko,First,Axe,Melee,Single,200,Debuff Target,Shrapnel
Adeptile_Lapacitor,-1,Adeptile,Lapacitor,Adeptpacitor,Second,Bomb,Ranged,Team,150,Buff Self,Healing Leaf
Adeptile_Liligator,15925,Adeptile,Liligator,Adeptgator,First,Wheel,Melee,Team,112,Debuff Target,Ranged Defence Down
Adeptile_Littlered,-1,Adeptile,Littlered,Adeptred,First,Bomb,Ranged,Team,150,Buff Self,Multistrike
Adeptile_Lobstacle,15873,Adeptile,Lobstacle,Adeptstacle,First,Arrow,Ranged,Single,200,Debuff Target,Glass Bonds
Adeptile_Macabra,15888,Adeptile,Macabra,Adeptcabra,First,Wheel,Melee,Team,150,Buff Self,Contact Dmg
Adeptile_Majortom,-1,Adeptile,Majortom,Adepttom,First,Meteor,Ranged,Team,112,Debuff Target,Burned
Adeptile_Malchemy,15875,Adeptile,Malchemy,Adeptchemy,Second,Sword,Melee,Single,200,Buff Self,Multitarget
Adeptile_Manispear,15895,Adeptile,Manispear,Adeptspear,First,Axe,Melee,Single,200,Buff Self,Accuracy Up
Adeptile_Mardiusa,15869,Adeptile,Mardiusa,Adeptdiusa,First,Axe,Melee,Single,200,Debuff Target,Ranged Defence Down
Adeptile_Mascotorn,15941,Adeptile,Mascotorn,Adepttorn,Second,Sword,Melee,Single,200,Debuff Target,Sleep
Adeptile_Mascotoy,15940,Adeptile,Mascotoy,Adepttoy,First,Spikes,Ranged,Single,200,Buff Self,Ranged Attack Up
Adeptile_Masquerattle,15867,Adeptile,Masquerattle,Adeptrattle,First,Meteor,Ranged,Team,112,Debuff Target,Melee Defence Down
Adeptile_Miasmodeus,15876,Adeptile,Miasmodeus,Adeptmodeus,Second,Meteor,Ranged,Team,150,Buff Self,Healing Steam
Adeptile_Minortom,-1,Adeptile,Minortom,Adepttom,First,Blast,Melee,Single,200,Buff Self,Mind-Meld
Adeptile_Minosteam,-1,Adeptile,Minosteam,Adeptsteam,First,Bomb,Ranged,Team,150,Buff Self,Evasion Up
Adeptile_Miss Mimic,15979,Adeptile,Miss Mimic,Adeptmimic,First,Sword,Melee,Single,200,Debuff Target,Glass Bonds
Adeptile_Mothmanic,15892,Adeptile,Mothmanic,Adeptmanic,First,Spikes,Ranged,Single,200,Buff Self,Multitarget
Adeptile_Muskrateer,15921,Adeptile,Muskrateer,Adeptrateer,First,Spikes,Ranged,Single,200,Buff Self,Cottoned On
Adeptile_Nevermort,15907,Adeptile,Nevermort,Adeptmort,First,Meteor,Ranged,Team,112,Debuff Target,Petrified
Adeptile_Padpole,15923,Adeptile,Padpole,Adeptpole,First,Meteor,Ranged,Team,150,Buff Self,Healing Steam
Adeptile_Palangolin,15896,Adeptile,Palangolin,Adeptgolin,First,Meteor,Ranged,Team,112,Debuff Target,Leeched
Adeptile_Pawndead,15952,Adeptile,Pawndead,Adeptdead,First,Smash,Melee,Team,112,Debuff Target,Speed Down
Adeptile_Picksie,15988,Adeptile,Picksie,Adeptsie,Second,Spikes,Ranged,Single,200,Buff Self,Multistrike
Adeptile_Pinbolt,15981,Adeptile,Pinbolt,Adeptbolt,First,Axe,Melee,Single,200,Buff Self,Ranged Attack Up
Adeptile_Plasmantler,15932,Adeptile,Plasmantler,Adeptmantler,First,Beam,Ranged,Single,200,Debuff Target,Melee Defence Down
