id,Move,Type,Category,Power,Accuracy,AP Cost,Description
1,Abramacabra,Beast,Status Effect,0,100,3,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns. This wall will also damage one opponent each turn.
2,Acid Reflex,Poison,Status Effect,0,-1,0,Chance to poison an opponent automatically upon melee contact.
3,Acorn Mortar,Plant,Ranged Attack,100,75,3,Hits one target.
4,Air Camouflage,Air,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
5,Air Coating,Air,Status Effect,0,100,2,Changes the type of the user or an ally.
6,Air Resistance,Air,Miscellaneous,0,100,0,"Passively reduces incoming Air-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
7,Air Wall,Air,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
8,AP Boost,Astral,Status Effect,0,100,1,Boosts the target’s AP generation.
9,AP Donate,Typeless,Miscellaneous,0,-1,1,Shifts all remaining AP from the user to the target.
10,AP Drain,Astral,Status Effect,0,100,1,Reduces the target’s AP generation.
11,AP Factory,Typeless,Miscellaneous,0,-1,0,Automatically shifts all the user’s AP to its allies at the start of each round.
12,AP Refund,Typeless,Miscellaneous,0,100,0,Chance to automatically refund AP after a move is used.
13,AP Starter,Typeless,Miscellaneous,0,100,0,Grants 1 extra AP at the start of battle.
14,AP Steal,Poison,Miscellaneous,0,70,0,Steals 1 AP from the target and gives it to the user.
15,Astral Camouflage,Astral,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
16,Astral Coating,Astral,Status Effect,0,100,2,Changes the type of the user or an ally.
17,Astral Resistance,Astral,Miscellaneous,0,100,0,"Passively reduces incoming Astral-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
18,Astral Wall,Astral,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
19,Automation,Typeless,Miscellaneous,0,100,0,"Chance to use the next move in the list, for 0 AP, at the end of the turn."
20,Avalanche,Ice,Status Effect,0,-1,2,All melee attacks fail this round.
21,Bad Forecast,Poison,Status Effect,0,50,1,Gives the target Evasion Nullified status for 3 turn(s). Also randomises the weather. Automatically used at the start of battle.
22,Bad Joke,Typeless,Miscellaneous,0,-1,0,The user tells a random joke. This has no effect.
23,Battering Ram,Typeless,Melee Attack,70,85,3,Hits one target. Lowers the target’s Accuracy.
24,Battery,Lightning,Melee Attack,40,100,3,Hits one target twice. Lands critical hits if used after Charge.
25,bE rAnDoM!!,Astral,Miscellaneous,0,100,0,Uses a random move that you have enough AP for.
26,Bear Hug,Beast,Melee Attack,30,100,1,Transfers one debuff at random from the user onto the target.
27,Beast Camouflage,Beast,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
28,Beast Coating,Beast,Status Effect,0,100,2,Changes the type of the user or an ally.
29,Beast Resistance,Beast,Miscellaneous,0,100,0,"Passively reduces incoming Beast-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
30,Beast Wall,Beast,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
31,Berserker,Beast,Status Effect,0,100,0,Automatically raises the user’s Melee Attack and inflicts them with Berserk when the user’s HP falls below 50%.
32,Binvasion,Fire,Ranged Attack,30,100,3,Hits one target as many times as there are Binvaders on the user’s team.
33,Binvitation,Metal,Miscellaneous,0,50,4,Calls for help from the mothership.
34,Bish Bash Bosh,Typeless,Melee Attack,60,100,3,Hits a whole team.
35,Bite,Beast,Melee Attack,80,100,3,Hits one target. Heals the user a little bit afterwards.
36,Blizzard,Ice,Ranged Attack,60,100,5,Hits a whole team. Lowers the targets’ Accuracy.
37,Blood Donation,Beast,Miscellaneous,0,-1,2,"Reduces the user’s HP by half, giving it to the target."
38,Bloodlust,Beast,Status Effect,0,-1,0,Automatically raises the user’s Melee and Ranged Attack stats when an opponent is defeated.
39,Boil,Water,Melee Attack,90,100,3,Hits one target. Chance to burn the target.
40,Bolt From The Blue,Lightning,Miscellaneous,0,50,4,Summons a temporary Boltam ally.
41,Bon Bon Blast,Typeless,Ranged Attack,70,85,3,Hits one target. Lowers the target’s Evasion.
42,Bone Cannon,Beast,Ranged Attack,40,100,3,Hits one target multiple times.
43,Booby Trap,Typeless,Miscellaneous,30,100,0,Damages the user.
44,Bottle Volley,Glass,Ranged Attack,40,100,3,Hits one target multiple times.
45,Brace for Impact,Metal,Melee Attack,120,100,4,Hits one target. Uses the user’s Melee Defence stat instead of Melee Attack. Also damages the user.
46,Breathing Technique,Astral,Miscellaneous,0,50,0,Prevents the user from being inflicted with Berserk.
47,Brick Blast,Plastic,Ranged Attack,40,100,4,Hits each member of a team multiple times.
48,Broadcast,Air,Status Effect,0,100,2,Gives the user Multitarget status for 3 turn(s).
49,Burning Passion,Fire,Status Effect,0,100,0,Automatically raises the user’s Ranged and Melee Attack whenever the user gains the Burned status effect.
50,Bushfire,Plant,Status Effect,0,-1,2,"Changes the user’s type to Fire, and makes them deal additional Fire damage on contact. Also burns the user."
51,Butterfly Effect,Air,Ranged Attack,30,100,0,"Consumes all the user’s AP. The power of this attack is increased by 15 times the AP consumed. The type of the attack, and any extra status effects, are determined by the current weather."
52,Call For Help,Typeless,Miscellaneous,0,50,2,Chance to summon a temporary ally.
53,Carnivore,Beast,Miscellaneous,0,100,0,Increases the amount of HP restored by Bite.
54,Change the Record,Typeless,Miscellaneous,0,-1,2,Forces the target to randomly switch to another of their tapes.
55,Charge,Lightning,Melee Attack,60,100,2,Hits one target.
56,Chemical Imbalance,Poison,Miscellaneous,0,100,0,"Chance to automatically use the next move in the list, for 0 AP, when the user lands a type-advantaged hit. The chance is reduced in proportion to the move’s normal AP cost."
57,Clay-Fired,Earth,Status Effect,0,-1,0,Activates when the user takes Fire-type damage from an attack. Raises the user’s defence stats.
58,Clobber,Typeless,Melee Attack,60,100,4,Hits one target multiple times.
59,Clockwork Mouse,Plastic,Melee Attack,120,100,5,Hits one target.
60,Close Encounter,Astral,Status Effect,0,100,1,The target’s ranged attacks become melee attacks.
61,Coal Story,Earth,Ranged Attack,30,100,1,Hits one target. Inflicts Burned on the target.
